Date,Sku,Orders
01.30.2020,429635,7
01.30.2020,429638,1
01.30.2020,452464,1
01.30.2020,521319,1
01.30.2020,527950,1
01.30.2020,1184986,2
01.30.2020,1185359,1
01.30.2020,30533,1
01.30.2020,35308,1
01.30.2020,53031,1
01.30.2020,118222,1
01.30.2020,123987,5
01.30.2020,429609,1
01.30.2020,429617,1
01.30.2020,429633,1
01.30.2020,429638,6
01.30.2020,441372,2
01.30.2020,452455,2
01.30.2020,452590,2
01.30.2020,452616,4
01.30.2020,452617,3
01.30.2020,492318,1
01.30.2020,503647,1
01.30.2020,503663,4
01.30.2020,503669,1
01.30.2020,506486,1
01.30.2020,527947,1
01.30.2020,527949,2
01.30.2020,527950,3
01.30.2020,1185359,1
01.30.2020,1185408,2
01.30.2020,1185410,3
01.30.2020,1185412,1
01.30.2020,1185420,1
01.30.2020,1185503,1
01.30.2020,1185508,3
01.30.2020,1185510,1
01.30.2020,1185511,2
01.30.2020,1185512,4
01.30.2020,1185519,1
01.30.2020,1185521,1
01.30.2020,1185534,1
01.30.2020,1185535,1
01.30.2020,1185714,1
01.30.2020,1185716,2
01.30.2020,1185929,1
01.30.2020,1186334,1
01.30.2020,1186335,1
01.31.2020,22213,1
01.31.2020,292401,1
01.31.2020,429631,2
01.31.2020,429635,5
01.31.2020,429638,1
01.31.2020,434025,1
01.31.2020,452598,1
01.31.2020,521307,1
01.31.2020,521308,1
01.31.2020,521319,1
01.31.2020,521320,1
01.31.2020,521321,2
01.31.2020,521322,1
01.31.2020,22213,1
01.31.2020,28177,1
01.31.2020,123987,4
01.31.2020,251043,1
01.31.2020,282186,1
01.31.2020,292401,2
01.31.2020,429609,1
01.31.2020,429611,3
01.31.2020,429614,2
01.31.2020,429616,1
01.31.2020,429633,1
01.31.2020,429638,8
01.31.2020,441372,1
01.31.2020,452454,1
01.31.2020,452456,1
01.31.2020,452457,1
01.31.2020,452616,2
01.31.2020,492318,5
01.31.2020,503647,1
01.31.2020,503661,2
01.31.2020,503663,1
01.31.2020,506486,1
01.31.2020,521307,1
01.31.2020,521317,1
01.31.2020,521318,1
01.31.2020,527947,2
01.31.2020,527950,1
01.31.2020,1184893,1
01.31.2020,1184936,1
01.31.2020,1185055,1
01.31.2020,1185418,1
01.31.2020,1185506,1
01.31.2020,1185508,2
01.31.2020,1185510,1
01.31.2020,1185534,2
01.31.2020,1185535,1
01.31.2020,1185594,2
01.31.2020,1185595,3
01.31.2020,1185599,1
02.03.2020,158973,1
02.03.2020,291294,1
02.03.2020,429614,1
02.03.2020,429631,5
02.03.2020,429635,5
02.03.2020,1185414,1
02.03.2020,1185486,1
02.03.2020,1295435,1
02.03.2020,22213,1
02.03.2020,30295,1
02.03.2020,123987,1
02.03.2020,282186,1
02.03.2020,429609,2
02.03.2020,429611,2
02.03.2020,429614,2
02.03.2020,429616,2
02.03.2020,429633,1
02.03.2020,429638,7
02.03.2020,452454,1
02.03.2020,452459,1
02.03.2020,452590,1
02.03.2020,452592,1
02.03.2020,452616,3
02.03.2020,452617,1
02.03.2020,492318,8
02.03.2020,500225,1
02.03.2020,1185408,3
02.03.2020,1185412,1
02.03.2020,1185416,1
02.03.2020,1185420,2
02.03.2020,1185512,2
02.03.2020,1185534,2
02.03.2020,1185716,2
02.03.2020,1185929,1
02.04.2020,22433,1
02.04.2020,22837,1
02.04.2020,158972,1
02.04.2020,221748,1
02.04.2020,282186,1
02.04.2020,429631,2
02.04.2020,429635,8
02.04.2020,452507,1
02.04.2020,452597,1
02.04.2020,503643,2
02.04.2020,1185414,1
02.04.2020,1185486,1
02.04.2020,1185520,1
02.04.2020,1185522,2
02.04.2020,1185716,1
02.04.2020,1186333,1
02.04.2020,22213,1
02.04.2020,33414,1
02.04.2020,118222,1
02.04.2020,123987,2
02.04.2020,158972,1
02.04.2020,251043,1
02.04.2020,292401,1
02.04.2020,429609,2
02.04.2020,429611,5
02.04.2020,429616,3
02.04.2020,429633,4
02.04.2020,429638,11
02.04.2020,441372,1
02.04.2020,452454,1
02.04.2020,452601,1
02.04.2020,452612,1
02.04.2020,452617,1
02.04.2020,478192,1
02.04.2020,492318,4
02.04.2020,503652,1
02.04.2020,503663,2
02.04.2020,506485,1
02.04.2020,506486,1
02.04.2020,527947,3
02.04.2020,527949,2
02.04.2020,527950,2
02.04.2020,542331,1
02.04.2020,1185418,1
02.04.2020,1185420,2
02.04.2020,1185595,1
02.04.2020,1185597,1
02.04.2020,1185599,1
02.04.2020,1185715,1
02.04.2020,1186333,1
02.04.2020,1186334,1
02.05.2020,22837,1
02.05.2020,127079,1
02.05.2020,389801,1
02.05.2020,429609,1
02.05.2020,429617,1
02.05.2020,558546,1
02.05.2020,22213,1
02.05.2020,30295,1
02.05.2020,118222,1
02.05.2020,120716,1
02.05.2020,123987,4
02.05.2020,292400,1
02.05.2020,292405,1
02.05.2020,429617,1
02.05.2020,429633,1
02.05.2020,429635,3
02.05.2020,429638,7
02.05.2020,441372,1
02.05.2020,452588,1
02.05.2020,452616,1
02.05.2020,452617,1
02.05.2020,492318,2
02.05.2020,527950,2
02.05.2020,1185014,1
02.05.2020,1185055,1
02.05.2020,1185408,2
02.05.2020,1185420,1
02.05.2020,1185510,1
02.05.2020,1185534,1
02.05.2020,1185594,3
02.05.2020,1185597,1
02.05.2020,1185599,2
02.05.2020,1185715,1
02.05.2020,1186334,1
02.05.2020,1186335,1
02.06.2020,22837,1
02.06.2020,30530,1
02.06.2020,31359,1
02.06.2020,292401,2
02.06.2020,429617,1
02.06.2020,434025,1
02.06.2020,434027,1
02.06.2020,452601,1
02.06.2020,452603,1
02.06.2020,494677,1
02.06.2020,503643,1
02.06.2020,22213,1
02.06.2020,30594,1
02.06.2020,123987,1
02.06.2020,292401,2
02.06.2020,413349,1
02.06.2020,429609,3
02.06.2020,429611,2
02.06.2020,429614,3
02.06.2020,429616,1
02.06.2020,429635,3
02.06.2020,429638,8
02.06.2020,441372,2
02.06.2020,452455,2
02.06.2020,452594,1
02.06.2020,452601,1
02.06.2020,452616,4
02.06.2020,478191,1
02.06.2020,492318,5
